interval_start,interval,geography_type,geography_key,binned.trip_start.count
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371021031,7
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,060371021072,6
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371021072,7
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371041242,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371044011,7
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371044012,10
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371044041,15
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371044042,7
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371046101,5
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371047041,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371048101,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371048101,7
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371048103,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371048103,6
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371048211,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371048212,8
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371048221,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371048221,9
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371060201,5
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371061111,16
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371061111,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371061111,14
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371061111,33
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371061122,7
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371061131,12
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371061131,5
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371061141,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371061141,8
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371061142,9
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371064031,7
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371064032,30
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371064032,15
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371064033,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371064033,10
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371064061,5
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371064061,10
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371064062,10
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371064081,18
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371064081,6
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371065101,11
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371065101,59
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371065102,5
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371065201,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371065201,12
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371065202,6
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371065203,9
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371066031,19
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371066042,6
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371066042,8
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371066423,5
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371066461,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371066461,10
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371066461,5
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371066461,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371066481,11
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371070101,71
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371070101,6
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371070201,17
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371070201,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371081021,5
2019-04-01T00:00:00-07:00,P1M,Census Block Groups,060371082012,12
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371082012,12
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371082012,17
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371082021,10
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371091001,18
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371091001,11
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371091001,5
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371091001,5
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371091002,8
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371091002,7
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371092001,6
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371092001,13
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371092002,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371093001,12
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371093001,21
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371093001,56
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371093001,19
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371093001,5
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371093002,6
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371093002,25
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371093003,6
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371093003,65
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371093003,58
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371093003,75
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371093003,42
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371094003,11
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371094003,8
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371095001,5
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371096032,7
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371096041,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371096041,5
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371096041,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371096042,15
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371096042,11
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371097002,5
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371097002,5
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371097002,27
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371097002,13
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371111001,8
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371111001,6
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112012,12
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112012,7
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112021,6
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112021,5
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112021,12
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112022,22
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112022,30
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112022,26
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112022,20
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112022,14
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112022,31
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112023,8
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112041,17
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112041,6
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112041,14
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112041,7
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112041,9
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112041,9
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371112042,6
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112051,12
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112051,45
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112051,24
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112051,21
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112051,21
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112051,21
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371112052,27
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112052,28
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112052,14
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112052,14
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112052,15
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112052,8
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112052,17
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371112053,21
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112053,10
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112053,13
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112053,11
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112053,11
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112053,5
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112053,24
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371112064,13
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112064,9
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112064,23
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112064,30
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112064,32
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112064,65
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371112065,6
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371112065,9
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371112065,8
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371112065,12
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371112065,14
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371113011,5
2019-10-01T00:00:00-07:00,P1M,Census Block Groups,060371113011,5
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371113011,10
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371113011,5
2019-06-01T00:00:00-07:00,P1M,Census Block Groups,060371113012,5
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371113012,12
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371113012,12
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371113012,8
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371113012,6
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371113012,12
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371113013,15
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371113013,23
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371113013,23
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371113013,11
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371113013,6
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371113013,18
2019-05-01T00:00:00-07:00,P1M,Census Block Groups,060371113014,6
2019-07-01T00:00:00-07:00,P1M,Census Block Groups,060371113014,6
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371113014,35
2019-09-01T00:00:00-07:00,P1M,Census Block Groups,060371113014,62
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371113014,93
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371113014,38
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371113014,56
2020-02-01T00:00:00-08:00,P1M,Census Block Groups,060371113014,68
2019-08-01T00:00:00-07:00,P1M,Census Block Groups,060371113021,9
2019-11-01T00:00:00-07:00,P1M,Census Block Groups,060371113021,11
2019-12-01T00:00:00-08:00,P1M,Census Block Groups,060371113021,18
2020-01-01T00:00:00-08:00,P1M,Census Block Groups,060371113021,9
