Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1000509,490586,509923,60687,70126\*,60104,60500,46012\*,60140,73577\*,73064\*,60986,40038\*,69419\*,Bye,60944,63880,63345,69022\*,68665\*
Atlanta Falcons,1099463,572811,526652,66714\*,72443,60295\*,72108,71787\*,60140\*,71856,71483,Bye,73283\*,73106\*,71463,71993,70592,70910\*,70873,50417\*
Baltimore Ravens,1091363,565020,526343,65012\*,70126,73390\*,70686,64037\*,70051,69012\*,Bye,71157,45918\*,70731,72409\*,71029,69134\*,70545,67431\*,70695
Buffalo Bills,1123350,550713,572637,78523\*,74569\*,69448,70317,66910\*,Bye,68340,69435,67685,67431\*,64187\*,67338,90445\*,69134,64694\*,65878\*,69016
Carolina Panthers,1122333,577765,544568,72005,71101,60104\*,71699\*,72762,60087\*,Bye,69083\*,72540,78090\*,73106,73068\*,71504,70592\*,72544,61845\*,72203
Chicago Bears,1051152,495332,555820,62435,76885\*,67327\*,62131,60463\*,Bye,62306,61632,69796\*,61758,70758\*,61581,65412\*,61276,78266\*,62213,66913\*
Cincinnati Bengals,907640,377432,530208,68710\*,50666,69448\*,57959\*,46012,70051\*,42784,83720\*,Bye,45918,51921\*,47423,39804,67431\*,57066,60968\*,47759
Cleveland Browns,1075124,539448,535676,67431,78523\*,67431,70686\*,70585\*,67431,Bye,65878\*,76743\*,67431,67431,67431,62157\*,67431,63345\*,67431,47759\*
Dallas Cowboys,1289027,727432,561595,90353,75128\*,90127,73086\*,93024,78523\*,91213,Bye,76107\*,91188,61801\*,65878\*,90445,61276\*,90436,69796\*,90646
Denver Broncos,1104191,607497,496694,52359\*,76885,78078\*,76219,25357\*,75815,76748,61653\*,76743,Bye,66883\*,67338\*,74638,71769\*,73257\*,74115,76334
Detroit Lions,1011888,490737,521151,60687\*,60158,69796\*,65188,Bye,76947\*,60314,58509,53318\*,61758\*,61801,57754\*,65412,66776\*,56515,74115\*,62840
Green Bay Packers,1154661,622762,531899,62435\*,78416,78078,77509,93024\*,76947,78160,73558\*,25435\*,78090,Bye,71500\*,75950\*,77296,78266,67157\*,62840\*
Houston Texans,1075836,574345,501491,73039\*,71651,25349\*,71699,71787,73323\*,59977\*,71893,84771\*,Bye,70731\*,71727,72025,71769,65265\*,49036\*,71794
Indianapolis Colts,965049,488886,476163,25363\*,62849\*,60295,62259,73352\*,Bye,59977,61653,61115\*,60510,61986,71727\*,60361,50232\*,73053\*,61845,58472\*
Jacksonville Jaguars,1014675,504686,509989,60157,71651\*,58613,76219\*,72762\*,64341,42784\*,57833,84771,Bye,61986\*,60926\*,62633,57866,52788\*,70873\*,58472
Kansas City Chiefs,1115771,587723,528048,60157\*,52748\*,73390,65188\*,73352,73323,76748\*,73558,73615,68864\*,76252\*,Bye,73548,65878\*,73257,62213\*,73680
Los Angeles Chargers,760644,254007,506637,25363,60158\*,25349,64278\*,25357,25425,62431\*,61632\*,25435,51954\*,76252,Bye,74638\*,57866\*,25446,25380,73680\*
Los Angeles Rams,1147715,582325,565390,72005\*,71460,67431\*,68117,68988\*,75695,71856\*,83720,Bye,63627\*,70758,72409,60944\*,71501,90436\*,70103\*,68665
Miami Dolphins,1067487,504540,562947,65012,65513,90127\*,64278,Bye,59808,68340\*,59244\*,59229,60510\*,64187,67431\*,65545,78523\*,72894\*,60968,65878\*
Minnesota Vikings,1070025,534794,535231,66714,78416\*,66738,62131\*,75041\*,66837,60314\*,66776,73615\*,91188\*,66883,Bye,69080\*,66776,25446\*,67157,66913
New England Patriots,1087904,527024,560880,65878,65513\*,65878,70317\*,76483\*,65878,78523\*,65878,71157\*,Bye,69796\*,65878,72025\*,65878,57066\*,65878,65878
New Orleans Saints,1117057,584660,532397,73039,71460\*,69005\*,73086,73029,64341\*,62306\*,73064,Bye,73283,54333\*,73068,71993\*,73038,73053,66756\*,72203\*
New York Giants,1143109,597316,545793,90353\*,74569,55070\*,74149,75041,65878\*,73577,58509\*,76107,78523\*,Bye,61581\*,75950,69796\*,72894,66083\*,75029
New York Jets,1116711,628184,488527,78523,78523,65878\*,Bye,69796\*,78523,78523,57833\*,59229\*,78523,56426\*,78523,39804\*,78523,70545\*,78523,69016\*
Oakland Raiders,961146,428311,532835,52359,52748,66738\*,62259\*,60463,Bye,78160\*,71893\*,53318,51954,51921,78523\*,73548\*,52760,52788,25380\*,76334\*
Philadelphia Eagles,1139525,558268,581257,69696,72443\*,69796,77509\*,69796,66837\*,91213\*,69435\*,69796,Bye,69796,69796,65545\*,69796,63246\*,69796,75029\*
Pittsburgh Steelers,986590,497896,488694,65878\*,65063,69439\*,57959,64037,25425\*,Bye,59244,61115,63627,67431\*,47423\*,62157,63880\*,64694,78523\*,70695\*
San Francisco 49ers,1080454,562443,518011,55976\*,50666\*,69439,Bye,70585,75695\*,61459\*,69083,60986\*,71404,69419,71500,71029\*,73038\*,70910,70103,69162\*
Seattle Seahawks,1101649,551927,549722,68710,65063\*,69005,60500\*,68988,67431\*,69012,71483\*,68948,71404\*,Bye,69796\*,69080,71501\*,72544\*,69022,69162
Tampa Bay Buccaneers,949068,415189,533879,55976,71101\*,55070,68117\*,73029\*,60087,Bye,62073\*,68948\*,40038,54333,71463\*,62633\*,50232,56515\*,49036,50417
Tennessee Titans,1047496,516074,531422,67431\*,62849,58613\*,72108\*,66910,75815\*,62431,62073,72540\*,68864,Bye,60926,60361\*,52760\*,65265,66756,71794\*
Washington Redskins,1101466,523906,577560,69696\*,75128,67327,74149\*,76483,59808\*,61459,66776\*,67685\*,Bye,56426,57754,71504\*,77296\*,63246,66083,90646\*
